nom_editeur;adresse;code_postal;ville;departement;url_site_web;annee_creation;diffusion;distribution;nombre_titre_catalogue;nombre_publication;domaines_editoriaux;presence_salon_du_livre_paris_2014;racine_isbn;siret_ou_siren;id;wgs84
ÉDITIONS À DOS D'ÂNE;8 rue Littré;75006;PARIS;75;www.adosdane.com;2009;CED Cedif;Daudin;31;8;Livre jeunesse;Oui;919372;;IF76_043_7826055365;48.8454782,2.3238681
VAN DE VELDE ÉDITIONS;27 boulevard Beaumarchais;75004;PARIS;75;www.van-de-velde.fr;1899;Daudin;Daudin;167;20;Arts (livres);Non;85868;;IF76_043_7826056481;48.8556005,2.3678345
RUE DU MONDE ÉDITIONS;5 rue du Port Royal;78960;VOISINS-LE-BRETONNEUX;78;www.ruedumonde.fr;1996;Harmonia Mundi;Harmonia Mundi;378;34;"Enseignement  ; Livre jeunesse";Non;912084;;IF76_043_7826057135;48.7576646,2.0499366
EFE - ÉDITION FORMATION ENTREPRISE;50 bis avenue de la Grande Armée;75848;PARIS;75;www.efe.fr;2000;Lextenso;Volumen;135;10;"Droit  ; Management, gestion et économie d'entreprise (livr ; Sciences et techniques, médecine et gestion (livre ; Sciences humaines et sociales";Non;908413;43047123500019;IF76_043_7826057162;48.8765854,2.2877296
EDP SCIENCES ÉDITEUR;17 Avenue du Hoggar - Parc d'Activité de Courtabœuf;91940;LES-ULIS;91;publications.edpsciences.org;1978;Sofedis;Sodis;929;25;Médecine  (dentisterie);Non;86883;30839268700049;IF76_043_7826057759;48.686641,2.201991
ATLANTES - INTERKELTIA;7 rue Pasteur;78350;JOUY-EN-JOSAS;78;www.interkeltia.com;2008;CED Cedif;Daudin;35;8;"Fantastique, SF, épouvante ; Religion/ésotérisme";Non;36277;50347946100017;IF11_043_9126546680;48.7655688,2.1660504
ÉDITIONS DU TRIDENT;39 rue du Cherche Midi;75006;PARIS;75;www.editions-du-trident.fr;1976;;;69;2;"Documents, actualités, essais (litt. gale étr.) ; Histoire";Non;84880;30505255700033;IF11_043_9126550530;48.8493113,2.3264205
ÉDITIONS MAISON DES LANGUES;78 rue de Turbigo;75003;PARIS;75;www.emdl.fr;2004;Sofedis;Sodis;884;90;"Enseignement  ; Scolaire";Non;35685;50079500000024;IF76_043_7826056277;48.8666415,2.3612883
OSKAR ÉDITIONS;36-38 rue Blomet;75015;PARIS;75;www.oskareditions.com;2003;Belin;Belin;1032;79;Livre jeunesse;Non;35000;44979443700037;IF76_043_7854189442;48.8428187,2.3061647
ÉDITIONS KALLIMAGES;21 rue de Fécamp;75012;PARIS;75;www.kallimages.com;2004;;UD;14;1;Arts (livres);Non;915936;47892892200028;IF76_043_8214871220;48.8353993,2.3988104
ÉDITIONS DU MESNIL;8 rue Pasquier;75008;PARIS;75;www.maxima.fr;2011;Interforum;Interforum;10;10;Sciences humaines et sociales;Non;36534;;ADIF_043_9832717130;48.8717572,2.3232109
CHRISTIAN BOURGOIS ÉDITEUR;116 rue du Bac;75007;PARIS;75;www.christianbourgois-editeur.com;1966;Volumen;Volumen;800;50;"Essai, analyse, critique  ; Littérature langue étrangère ; Littérature langue française ; Musique";Non;267;;IF76_043_7826055542;48.8526728,2.3236266
LYS ÉDITIONS AMATTEIS;12 avenue Lys;77190;DAMMARIE-LES-LYS;77;www.77livres.com;1974;Auto-diffusion;Auto-distribution;110;8;"Arts (livres) ; Régionalisme";Non;86849;;IF76_043_7826055554;48.5214737,2.6324425
ÉDTIONS ARTLYS;7 rue Biscornet;75012;PARIS;75;www.artlys.fr;1965;Flammarion;UD;236;21;"Arts (livres) ; Loisirs, vie pratique, tourisme";Non;85495;65980291200033;IF76_043_7826057246;48.8501103,2.3698261
ALZABANE ÉDITIONS;46 bis rue des Vignes;92140;CLAMART;92;www.alzabane-editions.com;2007;Pollen littéral;Pollen littéral;20;4;Livre jeunesse;Non;35920;49758334400013;IF76_043_7826057627;48.8053508,2.2726044
