code_int;ext_arrete_covid;etablissement;adresse;geopoint;domaine_activite;terrasse_sur_stationnement;terrasse_ouverte;terrasse_fermee;extension_terrasse;terrasse_marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/13715.pdf;;GARDEN CAFE;20 B Boulevard Lascrosses 31000 TOULOUSE;43.609332,1.431026;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14048.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14048_COVID.pdf;THE PETIT LONDON;7 BIS Rue Pierre-Paul Riquet 31000 TOULOUSE;43.601064,1.453945;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14518.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14518_COVID.pdf;LA TANTINA DE BURGOS;27 Avenue de la Garonnette 31000 TOULOUSE;43.596451,1.441281;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14529.pdf;;PIZZA CHOUCHOU;6 Rue de Metz 31000 TOULOUSE;43.599781,1.441618;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14530.pdf;;CHIKEN TACOS 31;37 Rue Léon Gambetta 31000 TOULOUSE;43.603743,1.442399;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14590.pdf;;PIZZA CAP;3 Avenue Paul Séjourné 31000 TOULOUSE;43.606192,1.427988;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14633.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14633_COVID.pdf;LE MODERNI'THE;2 Rue du Coq d'Inde 31000 TOULOUSE;43.599283,1.442886;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14705.pdf;;LE BISTROT DE L'ALMANACH;53 Rue de la République 31300 TOULOUSE;43.598233,1.432671;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/14928.pdf;;EDEN BAR;9 Avenue Etienne Billières 31300 TOULOUSE;43.597374,1.429026;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/15081.pdf;;LE BISTROT REGENT;14 Boulevard de Strasbourg 31000 TOULOUSE;43.607003,1.447642;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Terrasse fermée;Extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/15688.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/15688_COVID.pdf;ATLAS KEBAB;50 Rue de la République 31300 TOULOUSE;43.598267,1.433562;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/15932.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/15932_COVID.pdf;LES FORTES TETES;4 Avenue Honoré Serres 31000 TOULOUSE;43.61197,1.438681;Terrasse;Sans terrasse sur stationnement;Sans terrasse ouverte;Terrasse fermée;Extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/16291.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/16291_COVID.pdf;LE BISTROQUET BY LA UNE;10 Rue Labeda 31000 TOULOUSE;43.604579,1.448902;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/16581.pdf;;STAR KEBAB;37 Allées Jean Jaurès 31000 TOULOUSE;43.607196,1.450334;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/16757.pdf;;LA CUISINE DE JEAN;18 Avenue Albert Bedouce 31400 TOULOUSE;43.576327,1.455226;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/17377.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/17377_COVID.pdf;CHAI SAINT SAUVEUR;30 Rue Bernard Mulé 31400 TOULOUSE;43.597538,1.457777;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/17996.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/17996_COVID.pdf;AUX 4 Z'ARTS;11 Place de la Daurade 31000 TOULOUSE;43.60177,1.439469;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/18004.pdf;;POPULAIRE KEBAB;33 Rue des Filatiers 31000 TOULOUSE;43.598969,1.443992;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/18165.pdf;;LA COTE ET L'ARETE;25 Boulevard de Strasbourg 31000 TOULOUSE;43.607371,1.446639;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/18339.pdf;;MAISON PILLON;2 Rue d'Austerlitz 31000 TOULOUSE;43.605541,1.447462;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/18417.pdf;;TIME TO EAT;32 Allée Henri Sellier 31400 TOULOUSE;43.577351,1.43808;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
